Status,Age Group,Education,Industry,Location,AI Risk,Years of Experience,Monthly Salary (INR),Date Recorded
Employed,35 - 44,,Health,rural,HIGH,29,138400,1/22/2024
Employed,18-24,high school,Technology,Urban,Medium,,97300,1/23/2024
UNEMPLOYED,18-24,High School,Healthcare,Mumbai,moderate,29,64300,1/24/2024
employed,25_34,Bachelor's,,Bangalore,moderate,,59100,1/25/2024
UNEMPLOYED,,Masters,Retail,suburban,,19,92700,1/26/2024
UNEMPLOYED,25_34,Masters,Retail,urban,moderate,24,64900,1/27/2024
unemployed,18 to 24,Masters,Tech ,Delhi,HIGH,,45800,1/28/2024
,25-34,Masters,Retail,Urban,High,26,120000,1/29/2024
Employed,35 - 44,,Tech ,Mumbai,HIGH,11,134400,1/30/2024
unemployed,25_34,Bachelor's,Education,Bangalore,Low,1,106500,1/31/2024
Unemployed,55+,Master,,Bangalore,,,140000,2/1/2024
EMPLOYED,18 to 24,Masters,Retail,Urban,Low,16,,2/2/2024
,18-24,Master,Education,Delhi,Medium,,,2/3/2024
Employed,45-54,Bachelor's,Education,Hyderabad,low,,86300,2/4/2024
unemployed,35 - 44,PhD,Retail,suburban,moderate,,39500,2/5/2024
Unemployed,25_34,,Retail,Delhi,Medium,,71000,2/6/2024
Unemployed,18 to 24,,Health,,low,29,,2/7/2024
employed,,Master,Healthcare,Delhi,moderate,,131000,2/8/2024
employed,18-24,Ph.D,Education,Mumbai,High,,42600,2/9/2024
,18 to 24,Bachelor's,Technology,Mumbai,HIGH,10,86700,2/10/2024
unemployed,18 to 24,Bachelor's,Education,urban,HIGH,,,2/11/2024
Employed,25_34,Masters,,rural,moderate,,21500,2/12/2024
unemployed,,Diploma,,rural,Low,15,100400,2/13/2024
employed,45-54,Master,Technology,Mumbai,High,,,2/14/2024
EMPLOYED,45-54,Ph.D,Retail,rural,,15,111300,2/15/2024
Employed,45-54,high school, Fintech,rural,High,,,2/16/2024
EMPLOYED,,Masters,Finance,Urban,HIGH,23,100900,2/17/2024
Employed,25_34,,Education,Delhi,,,36600,2/18/2024
Unemployed,18-24,Ph.D,Retail,suburban,High,5,46300,2/19/2024
employed,25_34,Ph.D,Tech ,suburban,Medium,19,,2/20/2024
unemployed,25_34,PhD,Tech ,Urban,Medium,,,2/21/2024
Employed,,Masters,Tech ,rural,Low,,115600,2/22/2024
UNEMPLOYED,45-54,PhD,Retail,,low,,,2/23/2024
UNEMPLOYED,,high school,Healthcare,suburban,moderate,30,8600,2/24/2024
,35 - 44,high school,Education,Bangalore,High,,117600,2/25/2024
EMPLOYED,35 - 44,high school,Finance,Bangalore,low,,12400,2/26/2024
EMPLOYED,45-54,Bachelors,Education,Hyderabad,HIGH,5,119200,2/27/2024
UNEMPLOYED,18 to 24,Master,Tech ,Hyderabad,High,,109300,2/28/2024
employed,45-54,Master,Retail,Hyderabad,moderate,,84700,2/29/2024
Employed,18-24,Bachelors, Fintech,Urban,low,,9100,3/1/2024
Employed,,Bachelors,Education,Urban,,9,88800,3/2/2024
UNEMPLOYED,25-34,Bachelor's,Tech ,Hyderabad,moderate,2,16000,3/3/2024
EMPLOYED,25-34,high school,Retail,,Low,,58000,3/4/2024
unemployed,18 to 24,Master,Education,suburban,low,6,18300,3/5/2024
UNEMPLOYED,55+,Bachelor's,Tech ,rural,Medium,,,3/6/2024
unemployed,18 to 24,Bachelor's,Healthcare,suburban,High,,,3/7/2024
Employed,18 to 24,high school, Fintech,,HIGH,,,3/8/2024
Unemployed,18-24,High School,Education,Hyderabad,Low,20,14700,3/9/2024
EMPLOYED,18 to 24,high school,Retail,Bangalore,low,21,,3/10/2024
Employed,18 to 24,High School,Healthcare,urban,Medium,,117800,3/11/2024
unemployed,55+,Masters, Fintech,Bangalore,moderate,,50800,3/12/2024
unemployed,55+,Diploma,Health,Delhi,HIGH,4,73300,3/13/2024
EMPLOYED,25_34,Master,Health,Bangalore,Low,,17700,3/14/2024
Unemployed,25_34,Masters, Fintech,Urban,moderate,3,,3/15/2024
employed,45-54,Bachelors,Retail,Hyderabad,High,23,120500,3/16/2024
Employed,25-34,PhD, Fintech,urban,low,,15000,3/17/2024
employed,,Master,Technology,Mumbai,low,14,21300,3/18/2024
UNEMPLOYED,45-54,Bachelors,,Delhi,low,,116000,3/19/2024
Employed,18 to 24,Masters,Technology,suburban,Low,16,,3/20/2024
UNEMPLOYED,18-24,,Finance,rural,HIGH,7,121300,3/21/2024
EMPLOYED,,Diploma,Retail,Delhi,Medium,3,103300,3/22/2024
EMPLOYED,25-34,PhD,Technology,Urban,HIGH,29,90500,3/23/2024
,45-54,high school,Healthcare,Mumbai,,4,131700,3/24/2024
,25_34,High School,,Bangalore,Medium,,20600,3/25/2024
employed,25_34,Bachelor's,Health,Mumbai,HIGH,,135400,3/26/2024
unemployed,25_34,PhD,Retail,Urban,High,,47700,3/27/2024
EMPLOYED,,High School,Tech ,Bangalore,,19,130300,3/28/2024
EMPLOYED,25-34,High School,Health,urban,High,29,144500,3/29/2024
unemployed,18 to 24,High School,,Mumbai,moderate,,106600,3/30/2024
,,Bachelors,Finance,Delhi,High,30,75200,3/31/2024
UNEMPLOYED,35 - 44,Masters,Tech ,suburban,HIGH,,5100,4/1/2024
,35 - 44,PhD,Health,Hyderabad,low,7,145100,4/2/2024
,25_34,High School,Healthcare,,moderate,,57500,4/3/2024
EMPLOYED,25_34,Master, Fintech,urban,HIGH,,74500,4/4/2024
UNEMPLOYED,55+,Master, Fintech,suburban,HIGH,,105900,4/5/2024
,,Diploma,Tech ,Mumbai,HIGH,17,28200,4/6/2024
UNEMPLOYED,45-54,PhD,Technology,Delhi,Medium,,84500,4/7/2024
UNEMPLOYED,55+,high school,Healthcare,Bangalore,HIGH,,147100,4/8/2024
,25-34,Bachelor's,Tech ,suburban,High,17,10500,4/9/2024
Employed,45-54,,Finance,urban,Low,16,86900,4/10/2024
Unemployed,25-34,Bachelor's, Fintech,Hyderabad,Low,,105200,4/11/2024
EMPLOYED,35 - 44,,Technology,urban,,,,4/12/2024
employed,55+,Ph.D,Health,Urban,moderate,,134500,4/13/2024
,35 - 44,,Education,rural,High,,147200,4/14/2024
unemployed,35 - 44,PhD,Retail,,low,,81500,4/15/2024
Employed,55+,Bachelor's,Tech ,Mumbai,moderate,5,16200,4/16/2024
Employed,35 - 44,high school,Technology,Bangalore,moderate,20,136000,4/17/2024
employed,,high school, Fintech,Delhi,,,,4/18/2024
UNEMPLOYED,18-24,,Retail,Bangalore,HIGH,,29800,4/19/2024
Unemployed,25_34,Diploma,Retail,Bangalore,,5,,4/20/2024
employed,55+,Ph.D,,Hyderabad,moderate,22,115100,4/21/2024
Employed,45-54,,Health,suburban,moderate,0,75100,4/22/2024
employed,25_34,Bachelor's,Health,Urban,HIGH,17,98200,4/23/2024
Unemployed,55+,Ph.D,,suburban,High,18,86000,4/24/2024
Employed,45-54,Bachelor's,Education,,High,6,29900,4/25/2024
employed,25-34,Bachelors,Health,,Low,1,114500,4/26/2024
Unemployed,45-54,PhD,Technology,urban,moderate,25,,4/27/2024
UNEMPLOYED,35 - 44,Bachelors,Technology,,moderate,,67500,4/28/2024
Unemployed,,Diploma,Finance,,,,149000,4/29/2024
employed,18-24,Ph.D,Health,urban,High,26,6800,4/30/2024
Employed,25-34,Bachelor's, Fintech,Bangalore,High,26,64900,5/1/2024
UNEMPLOYED,18 to 24,Bachelors,Retail,urban,High,7,146300,5/2/2024
unemployed,35 - 44,Bachelors,Healthcare,suburban,moderate,,55600,5/3/2024
employed,18-24,Diploma,Finance,urban,low,,,5/4/2024
employed,,Diploma,Retail,,HIGH,,,5/5/2024
EMPLOYED,18 to 24,Bachelors,Finance,Mumbai,Low,29,51100,5/6/2024
unemployed,35 - 44,Masters,Retail,Urban,High,16,11000,5/7/2024
Employed,55+,PhD,Tech ,Urban,Medium,19,62800,5/8/2024
unemployed,18 to 24,Bachelors,Health,Delhi,Medium,,,5/9/2024
EMPLOYED,18-24,Bachelor's,Technology,urban,High,26,46000,5/10/2024
EMPLOYED,18-24,Masters,Education,Urban,moderate,24,,5/11/2024
Employed,55+,Masters,Tech ,Mumbai,moderate,0,105500,5/12/2024
,,Bachelor's,Finance,suburban,HIGH,,62600,5/13/2024
employed,25_34,High School,Retail,Urban,HIGH,,60200,5/14/2024
UNEMPLOYED,55+,Bachelors,,suburban,low,5,87200,5/15/2024
employed,35 - 44,PhD,Retail,Mumbai,,,118000,5/16/2024
unemployed,,Ph.D,Healthcare,urban,HIGH,,,5/17/2024
EMPLOYED,55+,Diploma,Education,Urban,Low,5,17400,5/18/2024
Employed,25-34,Ph.D, Fintech,Urban,,27,,5/19/2024
,25_34,Ph.D,Health,Hyderabad,Medium,10,,5/20/2024
employed,25-34,Ph.D,Healthcare,Mumbai,,11,137600,5/21/2024
,18 to 24,Ph.D,Health,rural,low,14,,5/22/2024
Employed,18-24,,Health,rural,HIGH,,68800,5/23/2024
Employed,,Bachelors,Retail,urban,HIGH,,107000,5/24/2024
employed,45-54,High School,,Urban,Low,7,63500,5/25/2024
Unemployed,18 to 24,high school,,Bangalore,low,0,47400,5/26/2024
,,Bachelor's, Fintech,urban,Medium,3,99800,5/27/2024
Employed,35 - 44,Masters,Technology,suburban,Medium,23,34900,5/28/2024
EMPLOYED,35 - 44,Ph.D, Fintech,Bangalore,Medium,,82800,5/29/2024
employed,18 to 24,Ph.D,Technology,Mumbai,,27,107800,5/30/2024
unemployed,18-24,Bachelor's,Education,Urban,Low,,54500,5/31/2024
Employed,18-24,Ph.D,Retail,Urban,moderate,,47100,6/1/2024
Employed,,Diploma,Retail,Urban,Low,1,15000,6/2/2024
EMPLOYED,18 to 24,Diploma,Retail,Delhi,low,,94500,6/3/2024
Unemployed,18 to 24,Ph.D,Tech ,,High,,27200,6/4/2024
UNEMPLOYED,18 to 24,Master,Retail,suburban,low,18,100400,6/5/2024
unemployed,,PhD,Tech ,suburban,High,5,34100,6/6/2024
Unemployed,55+,,,Mumbai,Medium,,,6/7/2024
Unemployed,45-54,high school,Education,,moderate,,8000,6/8/2024
,45-54,,Technology,suburban,low,,,6/9/2024
UNEMPLOYED,35 - 44,Ph.D,Technology,Hyderabad,low,,130500,6/10/2024
Unemployed,35 - 44,Masters, Fintech,urban,Low,,122900,6/11/2024
UNEMPLOYED,55+,Bachelor's,Healthcare,Mumbai,HIGH,4,93400,6/12/2024
EMPLOYED,35 - 44,,Retail,Urban,Medium,21,77700,6/13/2024
UNEMPLOYED,45-54,Masters,Tech ,Hyderabad,low,,52400,6/14/2024
,,Bachelors, Fintech,rural,Low,27,,6/15/2024
Unemployed,,high school,Tech ,Hyderabad,moderate,13,37300,6/16/2024
unemployed,55+,Masters,Education,Urban,HIGH,19,96700,6/17/2024
Employed,55+,Bachelor's,,urban,High,,8200,6/18/2024
,18 to 24,PhD,Health,Urban,low,,,6/19/2024
UNEMPLOYED,55+,, Fintech,urban,HIGH,11,72100,6/20/2024
employed,55+,,Technology,,moderate,,9800,6/21/2024
unemployed,25_34,Diploma,Education,Bangalore,HIGH,,24600,6/22/2024
unemployed,55+,Diploma,Education,Bangalore,High,,133700,6/23/2024
EMPLOYED,,High School,Retail,Bangalore,moderate,,21400,6/24/2024
Employed,18-24,PhD,Retail,Delhi,Medium,0,138700,6/25/2024
,45-54,, Fintech,Mumbai,,,125500,6/26/2024
EMPLOYED,18 to 24,High School,Education,rural,Medium,,87400,6/27/2024
unemployed,18-24,Masters,Healthcare,Hyderabad,Low,13,133300,6/28/2024
employed,45-54,Bachelor's, Fintech,Mumbai,HIGH,28,24100,6/29/2024
Employed,25-34,,Finance,suburban,moderate,25,64600,6/30/2024
,25-34,Bachelors,Tech ,urban,Low,23,108700,7/1/2024
EMPLOYED,,Master, Fintech,,moderate,,38500,7/2/2024
,55+,Bachelor's,Tech ,Delhi,Medium,28,40400,7/3/2024
UNEMPLOYED,,Bachelor's,Health,Bangalore,low,20,17200,7/4/2024
UNEMPLOYED,18 to 24,high school,Finance,Bangalore,Medium,,132900,7/5/2024
Unemployed,35 - 44,Diploma,Education,rural,,13,102800,7/6/2024
employed,55+,Bachelors,Finance,Hyderabad,,25,95600,7/7/2024
Unemployed,25-34,,Finance,rural,moderate,,69500,7/8/2024
,45-54,Bachelors,Health,urban,moderate,10,86000,7/9/2024
employed,18-24,Masters,Healthcare,urban,,3,140800,7/10/2024
unemployed,55+,High School,Technology,Hyderabad,HIGH,,84700,7/11/2024
unemployed,25-34,Ph.D,Finance,,HIGH,,56600,7/12/2024
,35 - 44,,Retail,Delhi,High,22,66700,7/13/2024
Unemployed,55+,Masters,Finance,Bangalore,Medium,,96400,7/14/2024
EMPLOYED,18 to 24,,Retail,rural,High,0,101400,7/15/2024
employed,18 to 24,, Fintech,Bangalore,,21,37300,7/16/2024
unemployed,35 - 44,PhD,Retail,Bangalore,High,,124400,7/17/2024
unemployed,18-24,Bachelors,Technology,Bangalore,High,,128000,7/18/2024
unemployed,45-54,Diploma,Retail,rural,Low,16,,7/19/2024
employed,18-24,Master,Health,Hyderabad,Medium,,34700,7/20/2024
Unemployed,45-54,high school,Tech ,urban,moderate,,34700,7/21/2024
Unemployed,45-54,Bachelors,Technology,Delhi,low,7,,7/22/2024
Unemployed,45-54,high school,Health,Hyderabad,low,3,,7/23/2024
Unemployed,18-24,Bachelor's,Health,urban,Low,,117800,7/24/2024
Employed,25-34,PhD,Retail,Urban,Medium,,69500,7/25/2024
,18-24,Ph.D,Retail,Mumbai,moderate,18,148400,7/26/2024
UNEMPLOYED,25_34,PhD,Retail,Urban,low,,,7/27/2024
Employed,25_34,high school,Retail,rural,,,61600,7/28/2024
Unemployed,,PhD,Education,,Low,,83100,7/29/2024
Employed,55+,Masters,Education,Mumbai,low,,,7/30/2024
Unemployed,25-34,Bachelor's, Fintech,rural,moderate,23,140600,7/31/2024
employed,18 to 24,Bachelors,Education,Hyderabad,low,28,,8/1/2024
UNEMPLOYED,25_34,Masters,,urban,Low,13,57100,8/2/2024
Employed,55+,Master,Retail,suburban,High,4,97800,8/3/2024
EMPLOYED,18-24,PhD,Retail,Hyderabad,moderate,0,86600,8/4/2024
EMPLOYED,45-54,Bachelors,Health,Hyderabad,low,,,8/5/2024
UNEMPLOYED,25-34,PhD,Health,Urban,,,,8/6/2024
EMPLOYED,,Masters,Health,Urban,low,27,103400,8/7/2024
unemployed,55+,,Retail,Hyderabad,HIGH,10,88800,8/8/2024
,45-54,,Education,urban,low,29,133800,8/9/2024
employed,25_34,,Health,urban,,,36200,8/10/2024
Unemployed,,high school, Fintech,Mumbai,Low,,,8/11/2024
Employed,,Masters,Finance,urban,Medium,,103800,8/12/2024
unemployed,18 to 24,High School,Health,rural,low,1,109300,8/13/2024
UNEMPLOYED,25_34,Master,Technology,Hyderabad,High,28,73000,8/14/2024
unemployed,18-24,Master,Healthcare,suburban,HIGH,,102400,8/15/2024
unemployed,45-54,Master,Health,Delhi,Low,,140300,8/16/2024
Employed,35 - 44,High School,Health,urban,High,,32800,8/17/2024
Employed,45-54,,Healthcare,Delhi,Medium,,132400,8/18/2024
Employed,55+,PhD,Retail,Hyderabad,,,15200,8/19/2024
UNEMPLOYED,45-54,Bachelors,,urban,HIGH,,60600,8/20/2024
Unemployed,45-54,Diploma,Retail,urban,HIGH,19,70900,8/21/2024
employed,25_34,Masters,Healthcare,Hyderabad,low,11,132100,8/22/2024
Employed,45-54,high school,Finance,Bangalore,moderate,,146900,8/23/2024
UNEMPLOYED,35 - 44,Masters,Healthcare,Delhi,low,18,74600,8/24/2024
employed,,Diploma, Fintech,Delhi,HIGH,,145600,8/25/2024
EMPLOYED,,Diploma,Technology,Delhi,,,,8/26/2024
Unemployed,35 - 44,PhD,Tech ,Hyderabad,low,29,30700,8/27/2024
Employed,45-54,PhD,Tech ,suburban,HIGH,15,,8/28/2024
EMPLOYED,55+,PhD,Technology,suburban,HIGH,,11200,8/29/2024
UNEMPLOYED,,Masters,Retail,Bangalore,Medium,,18100,8/30/2024
employed,,high school,Education,Urban,HIGH,,43100,8/31/2024
unemployed,45-54,PhD,Technology,urban,Medium,,62600,9/1/2024
unemployed,25-34,Master,,rural,,19,137500,9/2/2024
Employed,18 to 24,Bachelors,Healthcare,suburban,Medium,7,87900,9/3/2024
EMPLOYED,,Bachelors,,rural,,28,,9/4/2024
employed,25_34,High School, Fintech,rural,Medium,,,9/5/2024
employed,25_34,Ph.D,Retail,suburban,Low,,118800,9/6/2024
UNEMPLOYED,25-34,high school,Education,Bangalore,HIGH,21,144100,9/7/2024
EMPLOYED,18 to 24,Bachelor's,Health,Mumbai,low,9,,9/8/2024
UNEMPLOYED,,,Technology,suburban,moderate,22,49500,9/9/2024
unemployed,25-34,Diploma,Health,,Low,29,117500,9/10/2024
UNEMPLOYED,18-24,high school,Technology,Delhi,High,,109800,9/11/2024
EMPLOYED,18 to 24,,Finance,Urban,HIGH,,65500,9/12/2024
,45-54,PhD,Technology,Urban,low,14,30000,9/13/2024
employed,18 to 24,Masters,Education,rural,Medium,,62100,9/14/2024
EMPLOYED,25-34,Master,,Urban,Low,14,104400,9/15/2024
Unemployed,,PhD,Education,Delhi,low,,116100,9/16/2024
employed,,High School,Tech ,Hyderabad,HIGH,,58700,9/17/2024
Unemployed,18 to 24,Master,Tech ,,moderate,,19000,9/18/2024
Employed,18-24,Diploma,Retail,urban,low,14,143200,9/19/2024
,25-34,,Retail,Bangalore,Low,,10100,9/20/2024
,35 - 44,Bachelor's,Health,Hyderabad,Medium,22,147100,9/21/2024
EMPLOYED,45-54,,Healthcare,Delhi,HIGH,,,9/22/2024
EMPLOYED,25_34,Bachelors,Tech ,Hyderabad,HIGH,,87800,9/23/2024
employed,55+,High School,Tech ,rural,Low,,75000,9/24/2024
unemployed,25-34,Bachelor's, Fintech,Bangalore,Medium,14,51800,9/25/2024
EMPLOYED,,Bachelors,Education,,moderate,,,9/26/2024
Employed,18 to 24,High School,Tech ,Hyderabad,High,,96300,9/27/2024
unemployed,35 - 44,PhD,Retail,Delhi,High,,64500,9/28/2024
UNEMPLOYED,55+,High School,Tech ,Delhi,HIGH,9,,9/29/2024
,18-24,Masters,Retail,Urban,Medium,17,,9/30/2024
employed,18 to 24,,Health,suburban,High,15,30100,10/1/2024
UNEMPLOYED,45-54,Ph.D,Tech ,suburban,Low,,101500,10/2/2024
UNEMPLOYED,25-34,High School,,Hyderabad,Medium,18,86300,10/3/2024
Employed,55+,High School,Finance,,HIGH,,,10/4/2024
unemployed,,Master,Finance,Hyderabad,HIGH,,90400,10/5/2024
unemployed,35 - 44,Bachelor's,Tech ,Mumbai,Low,16,118500,10/6/2024
EMPLOYED,18 to 24,,Education,Delhi,,2,23900,10/7/2024
Unemployed,25_34,Diploma,,Mumbai,low,10,,10/8/2024
Employed,18-24,Bachelors,Healthcare,Bangalore,moderate,23,113800,10/9/2024
Unemployed,55+,Master,Technology,Delhi,low,8,132700,10/10/2024
employed,25-34,Masters,Tech ,Bangalore,High,2,26800,10/11/2024
unemployed,18-24,Masters,,rural,moderate,10,52200,10/12/2024
EMPLOYED,35 - 44,High School,Healthcare,Mumbai,,,55000,10/13/2024
Unemployed,18 to 24,Masters,Tech ,Delhi,,30,99500,10/14/2024
EMPLOYED,45-54,Master,Tech ,,HIGH,,104400,10/15/2024
,18 to 24,PhD,Healthcare,Urban,High,7,99600,10/16/2024
employed,25_34,Bachelors,Healthcare,Urban,moderate,26,112300,10/17/2024
Employed,18-24,Diploma,Retail,rural,moderate,,,10/18/2024
,55+,Diploma, Fintech,,High,9,9500,10/19/2024
EMPLOYED,18-24,Master,Retail,rural,,,16400,10/20/2024
Employed,35 - 44,,,Hyderabad,Medium,0,147800,10/21/2024
unemployed,55+,Bachelor's,Health,Hyderabad,,2,,10/22/2024
Unemployed,25-34,Ph.D,Finance,Urban,High,26,43900,10/23/2024
unemployed,25-34,Diploma,Technology,rural,Medium,,,10/24/2024
UNEMPLOYED,18 to 24,High School, Fintech,Bangalore,HIGH,,123100,10/25/2024
EMPLOYED,35 - 44,,Retail,Mumbai,Low,,59500,10/26/2024
employed,18-24,Diploma,Retail,Hyderabad,High,,,10/27/2024
unemployed,25-34,Bachelors,Tech ,,HIGH,,115400,10/28/2024
Unemployed,45-54,Diploma,,urban,moderate,,13100,10/29/2024
Employed,35 - 44,PhD, Fintech,,Low,5,,10/30/2024
Employed,55+,PhD,Healthcare,,,16,,10/31/2024
Employed,,Bachelors,Retail,Urban,HIGH,28,,11/1/2024
employed,25_34,,Tech ,Bangalore,HIGH,,130800,11/2/2024
employed,55+,PhD,Technology,suburban,,,133400,11/3/2024
,25_34,Ph.D,Finance,rural,,24,100300,11/4/2024
Employed,55+,,Health,Delhi,low,,68800,11/5/2024
Employed,55+,PhD,,urban,HIGH,5,22700,11/6/2024
EMPLOYED,18 to 24,Ph.D,Tech ,,,2,58400,11/7/2024
Employed,25_34,Ph.D,Education,Mumbai,Low,21,40200,11/8/2024
employed,18-24,high school,Finance,Bangalore,HIGH,,,11/9/2024
EMPLOYED,25-34,Bachelor's,Retail,Bangalore,Low,22,,11/10/2024
,55+,PhD,Retail,Bangalore,low,,99100,11/11/2024
EMPLOYED,25-34,PhD,Education,,moderate,,37200,11/12/2024
employed,35 - 44,Masters,Healthcare,Hyderabad,High,,142900,11/13/2024
unemployed,55+,High School,Technology,,High,,20300,11/14/2024
,,high school,Education,,,23,56600,11/15/2024
,45-54,Ph.D,,Urban,,,117800,11/16/2024
EMPLOYED,25_34,Bachelors,Retail,Hyderabad,HIGH,,64800,11/17/2024
,55+,Bachelor's,Health,,moderate,0,28000,11/18/2024
unemployed,45-54,Masters,Education,urban,Medium,,,11/19/2024
EMPLOYED,55+,,Education,suburban,High,,94900,11/20/2024
unemployed,45-54,high school,Health,Hyderabad,High,,16400,11/21/2024
unemployed,45-54,Masters,Tech ,urban,HIGH,,67300,11/22/2024
Employed,35 - 44,Diploma,Technology,suburban,Low,,6300,11/23/2024
,25_34,Masters,Healthcare,Hyderabad,High,,,11/24/2024
employed,35 - 44,Ph.D,Technology,suburban,High,7,63200,11/25/2024
unemployed,55+,Master,Tech ,,moderate,29,53800,11/26/2024
Unemployed,25-34,high school,Technology,Delhi,Medium,,106700,11/27/2024
unemployed,55+,High School,Retail,Bangalore,HIGH,,,11/28/2024
,25_34,Bachelor's,Finance,Mumbai,Low,,15500,11/29/2024
Employed,,Masters,Health,urban,Medium,11,107100,11/30/2024
employed,18-24,Ph.D,Healthcare,Delhi,Low,18,53800,12/1/2024
unemployed,35 - 44,Master,Tech ,urban,High,21,35200,12/2/2024
employed,35 - 44,Diploma,Healthcare,urban,low,,,12/3/2024
,25_34,Bachelor's,Technology,Hyderabad,,,46900,12/4/2024
unemployed,45-54,High School,Tech ,rural,low,23,149200,12/5/2024
Employed,18 to 24,PhD,Retail,urban,low,,37700,12/6/2024
employed,45-54,Masters,,rural,High,,121300,12/7/2024
EMPLOYED,25_34,Bachelor's,,urban,High,6,,12/8/2024
EMPLOYED,18 to 24,PhD,Retail,,moderate,,95900,12/9/2024
EMPLOYED,25-34,PhD,Healthcare,rural,HIGH,,100300,12/10/2024
employed,18 to 24,,Healthcare,Mumbai,,,50400,12/11/2024
EMPLOYED,35 - 44,Diploma,Tech ,Bangalore,moderate,,49900,12/12/2024
,18-24,,Tech ,urban,,,77300,12/13/2024
EMPLOYED,25_34,High School,Retail,urban,low,,8300,12/14/2024
EMPLOYED,45-54,High School,Retail,Delhi,moderate,28,112100,12/15/2024
UNEMPLOYED,25-34,Master,Healthcare,Mumbai,High,,86900,12/16/2024
unemployed,45-54,High School,Health,,Medium,26,103800,12/17/2024
EMPLOYED,35 - 44,PhD,Healthcare,suburban,Medium,26,,12/18/2024
UNEMPLOYED,55+,Masters,Health,,Medium,9,,12/19/2024
Unemployed,25_34,Bachelor's,Healthcare,urban,,15,38400,12/20/2024
,18-24,High School,Education,,low,10,82300,12/21/2024
unemployed,25-34,high school,,urban,High,,,12/22/2024
Employed,45-54,Master,,rural,low,5,117600,12/23/2024
UNEMPLOYED,,Masters,,suburban,High,,,12/24/2024
UNEMPLOYED,35 - 44,Bachelor's,Tech ,Bangalore,Low,,116700,12/25/2024
Employed,25_34,High School,,Mumbai,Medium,,,12/26/2024
Unemployed,,Ph.D,Health,Urban,Medium,,94700,12/27/2024
Employed,,Diploma,Finance,,Medium,13,96200,12/28/2024
Unemployed,18 to 24,Bachelors,,Urban,low,16,38800,12/29/2024
Employed,25-34,high school,Finance,Mumbai,High,,,12/30/2024
employed,,Master,Healthcare,Hyderabad,High,30,18100,12/31/2024
unemployed,25-34,PhD,,Mumbai,HIGH,8,128300,1/1/2025
UNEMPLOYED,45-54,PhD,,Mumbai,Medium,27,43200,1/2/2025
Unemployed,55+,Bachelors,,Mumbai,moderate,1,43700,1/3/2025
UNEMPLOYED,,high school,Health,,Low,17,115300,1/4/2025
Unemployed,25-34,Diploma,Retail,Bangalore,Low,1,55600,1/5/2025
unemployed,18-24,PhD,Tech ,urban,moderate,,105200,1/6/2025
Employed,55+,high school,Technology,Bangalore,HIGH,,,1/7/2025
Unemployed,55+,High School,Education,,,19,145700,1/8/2025
Employed,45-54,Bachelors,Health,suburban,Low,,24000,1/9/2025
UNEMPLOYED,55+,Masters,,Bangalore,Medium,17,,1/10/2025
EMPLOYED,18-24,Bachelors,Retail,rural,,24,145300,1/11/2025
EMPLOYED,55+,high school,Health,suburban,moderate,,30300,1/12/2025
Employed,18-24,Master,Healthcare,Delhi,HIGH,2,32900,1/13/2025
employed,35 - 44,high school,Finance,Hyderabad,HIGH,6,52900,1/14/2025
Employed,,Bachelors, Fintech,,Medium,,89900,1/15/2025
employed,35 - 44,Ph.D,Tech ,suburban,moderate,,53900,1/16/2025
Unemployed,55+,Bachelor's,Retail,Mumbai,,,126500,1/17/2025
,25-34,Bachelor's,Finance,rural,High,,,1/18/2025
unemployed,,Bachelor's,Retail,suburban,low,,67100,1/19/2025
Unemployed,55+,,Retail,rural,HIGH,0,143300,1/20/2025
,35 - 44,Bachelors,Retail,urban,Medium,,28000,1/21/2025
,55+,high school,,Urban,low,,88000,1/22/2025
UNEMPLOYED,18-24,PhD,Retail,,Medium,,113700,1/23/2025
Employed,35 - 44,high school,Technology,Mumbai,HIGH,,88500,1/24/2025
EMPLOYED,55+,high school,Retail,suburban,HIGH,8,65500,1/25/2025
employed,55+,,Tech ,Urban,High,22,41300,1/26/2025
UNEMPLOYED,35 - 44,Bachelor's,Technology,suburban,High,,148100,1/27/2025
Employed,18 to 24,High School,Technology,Urban,High,27,59900,1/28/2025
Employed,45-54,Bachelors,Tech ,Delhi,High,,84800,1/29/2025
,25-34,Bachelor's,Retail,Urban,,,47700,1/30/2025
unemployed,55+,Masters,Tech ,rural,moderate,11,68800,1/31/2025
employed,18 to 24,high school,Retail,rural,Medium,10,42000,2/1/2025
UNEMPLOYED,18-24,Bachelor's,Retail,Delhi,HIGH,,22600,2/2/2025
UNEMPLOYED,45-54,Ph.D,Retail,urban,HIGH,,30500,2/3/2025
Employed,25-34,PhD,,Mumbai,High,,,2/4/2025
Employed,18-24,Masters,Finance,Urban,,30,29800,2/5/2025
unemployed,55+,High School,Retail,Mumbai,Medium,,7300,2/6/2025
Employed,,,,Delhi,Low,1,131600,2/7/2025
EMPLOYED,18 to 24,Ph.D,Tech ,Hyderabad,low,29,44500,2/8/2025
EMPLOYED,18 to 24,,Tech ,Mumbai,High,14,43200,2/9/2025
Employed,25-34,, Fintech,suburban,HIGH,,,2/10/2025
Unemployed,35 - 44,Master,Retail,Delhi,High,,,2/11/2025
Unemployed,,Bachelors,Education,Hyderabad,,,,2/12/2025
Employed,25_34,Bachelors,Finance,urban,low,30,104100,2/13/2025
